epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.5333,0.73192,0.92321,1,0.24095,0.000408951,0.000408951,0.000408951
2,78.7928,0.32855,0.89529,1,0.30674,0.00080927,0.00080927,0.00080927
3,101.623,0.35672,0.82024,1,0.50722,0.00119309,0.00119309,0.00119309
4,125.443,0.38514,0.86824,1,0.35919,0.00117575,0.00117575,0.00117575
5,149.196,0.2651,0.9171,1,0.24227,0.001151,0.001151,0.001151
6,173.114,0.27911,0.81152,1,0.595,0.00112625,0.00112625,0.00112625
7,196.164,0.24498,0.90576,1,0.23332,0.0011015,0.0011015,0.0011015
8,220.19,0.213,0.91187,1,0.25543,0.00107675,0.00107675,0.00107675
9,242.146,0.19447,0.92932,1,0.24266,0.001052,0.001052,0.001052
10,267.289,0.18816,0.88831,1,0.37535,0.00102725,0.00102725,0.00102725
11,288.783,0.22065,0.89529,1,0.2821,0.0010025,0.0010025,0.0010025
12,308.444,0.18287,0.93106,1,0.1904,0.00097775,0.00097775,0.00097775
13,332.772,0.18223,0.95201,1,0.15032,0.000953,0.000953,0.000953
14,357.122,0.15371,0.94852,1,0.14148,0.00092825,0.00092825,0.00092825
15,380.41,0.14048,0.92321,1,0.23489,0.0009035,0.0009035,0.0009035
16,402.91,0.14278,0.91623,1,0.24148,0.00087875,0.00087875,0.00087875
17,425.819,0.15587,0.94503,1,0.15787,0.000854,0.000854,0.000854
18,449.243,0.12007,0.90925,1,0.27898,0.00082925,0.00082925,0.00082925
19,472.187,0.1177,0.93979,1,0.16884,0.0008045,0.0008045,0.0008045
20,494.868,0.12369,0.94677,1,0.15624,0.00077975,0.00077975,0.00077975
21,515.709,0.10359,0.96073,1,0.13732,0.000755,0.000755,0.000755
22,539.133,0.09666,0.9459,1,0.20027,0.00073025,0.00073025,0.00073025
23,561.522,0.11278,0.91623,1,0.28714,0.0007055,0.0007055,0.0007055
24,584.888,0.08803,0.94764,1,0.17126,0.00068075,0.00068075,0.00068075
25,606.88,0.09309,0.94241,1,0.19017,0.000656,0.000656,0.000656
26,631.7,0.10787,0.95899,1,0.13768,0.00063125,0.00063125,0.00063125
27,653.471,0.08318,0.94328,1,0.17154,0.0006065,0.0006065,0.0006065
28,674.906,0.08138,0.96248,1,0.13088,0.00058175,0.00058175,0.00058175
29,700,0.06502,0.94415,1,0.17025,0.000557,0.000557,0.000557
30,723.035,0.06582,0.95986,1,0.13371,0.00053225,0.00053225,0.00053225
31,747.241,0.06627,0.95899,1,0.14291,0.0005075,0.0005075,0.0005075
32,767.677,0.06647,0.94939,1,0.15401,0.00048275,0.00048275,0.00048275
33,789.068,0.05134,0.95812,1,0.13442,0.000458,0.000458,0.000458
34,814.329,0.05587,0.95986,1,0.13883,0.00043325,0.00043325,0.00043325
35,838.114,0.0564,0.94503,1,0.20315,0.0004085,0.0004085,0.0004085
36,860.139,0.07179,0.96248,1,0.18731,0.00038375,0.00038375,0.00038375
37,881.867,0.06325,0.96161,1,0.15398,0.000359,0.000359,0.000359
38,905.37,0.05619,0.96161,1,0.13088,0.00033425,0.00033425,0.00033425
